id_subsistema;nom_subsistema;id_estado;nom_estado;nom_usina;id_tipousina;nom_tipocombustivel;id_ons;ceg;din_instante;val_potenciainstalada;val_dispoperacional;val_dispsincronizada
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 03:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 04:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 05:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 06:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 07:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 08:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 09:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 10:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 11:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 12:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 13:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 14:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 15:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 16:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 17:00:00;250.0;223.44;86.72
