id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
SE;SUDESTE;2025-01-03 19:00:00;49684.159
N;NORTE;2025-01-03 20:00:00;8114.49
NE;NORDESTE;2025-01-03 20:00:00;15010.21099999
S;SUL;2025-01-03 20:00:00;15978.558
SE;SUDESTE;2025-01-03 20:00:00;49783.461
N;NORTE;2025-01-03 21:00:00;8239.09499999
NE;NORDESTE;2025-01-03 21:00:00;15442.14499999
S;SUL;2025-01-03 21:00:00;15834.915
SE;SUDESTE;2025-01-03 21:00:00;48784.758
N;NORTE;2025-01-03 22:00:00;8326.01
NE;NORDESTE;2025-01-03 22:00:00;15652.398
S;SUL;2025-01-03 22:00:00;15327.02699999
SE;SUDESTE;2025-01-03 22:00:00;47141.978
N;NORTE;2025-01-03 23:00:00;8314.874
NE;NORDESTE;2025-01-03 23:00:00;15412.81299999
S;SUL;2025-01-03 23:00:00;14475.605
SE;SUDESTE;2025-01-03 23:00:00;45122.243
N;NORTE;2025-01-04 00:00:00;8257.63399999
NE;NORDESTE;2025-01-04 00:00:00;14962.38899999
S;SUL;2025-01-04 00:00:00;13512.374
SE;SUDESTE;2025-01-04 00:00:00;42874.002
N;NORTE;2025-01-04 01:00:00;8058.494
NE;NORDESTE;2025-01-04 01:00:00;14506.69099999
S;SUL;2025-01-04 01:00:00;12680.69999999
SE;SUDESTE;2025-01-04 01:00:00;40873.233
N;NORTE;2025-01-04 02:00:00;7863.981
NE;NORDESTE;2025-01-04 02:00:00;14139.36699999
S;SUL;2025-01-04 02:00:00;12121.177
SE;SUDESTE;2025-01-04 02:00:00;39452.745
N;NORTE;2025-01-04 03:00:00;7764.27399999
NE;NORDESTE;2025-01-04 03:00:00;13935.52399999
S;SUL;2025-01-04 03:00:00;11729.124
SE;SUDESTE;2025-01-04 03:00:00;38522.97
N;NORTE;2025-01-04 04:00:00;7675.356
NE;NORDESTE;2025-01-04 04:00:00;13672.48099999
S;SUL;2025-01-04 04:00:00;11510.461
SE;SUDESTE;2025-01-04 04:00:00;38120.683
N;NORTE;2025-01-04 05:00:00;7559.72699999
NE;NORDESTE;2025-01-04 05:00:00;13017.71199999
S;SUL;2025-01-04 05:00:00;11234.0
SE;SUDESTE;2025-01-04 05:00:00;37710.441
N;NORTE;2025-01-04 06:00:00;7321.566
NE;NORDESTE;2025-01-04 06:00:00;12432.218
S;SUL;2025-01-04 06:00:00;11531.685
SE;SUDESTE;2025-01-04 06:00:00;38120.89799999
N;NORTE;2025-01-04 07:00:00;7069.48599999
NE;NORDESTE;2025-01-04 07:00:00;12254.433
S;SUL;2025-01-04 07:00:00;12099.317
SE;SUDESTE;2025-01-04 07:00:00;39762.542
N;NORTE;2025-01-04 08:00:00;6705.14699999
NE;NORDESTE;2025-01-04 08:00:00;12363.129
S;SUL;2025-01-04 08:00:00;12314.869
SE;SUDESTE;2025-01-04 08:00:00;41456.07199999
N;NORTE;2025-01-04 09:00:00;6851.86
NE;NORDESTE;2025-01-04 09:00:00;12550.95499999
S;SUL;2025-01-04 09:00:00;12637.322
SE;SUDESTE;2025-01-04 09:00:00;42521.105
N;NORTE;2025-01-04 10:00:00;6996.20199999
NE;NORDESTE;2025-01-04 10:00:00;12659.26199999
S;SUL;2025-01-04 10:00:00;13151.942
SE;SUDESTE;2025-01-04 10:00:00;43258.804
N;NORTE;2025-01-04 11:00:00;7170.19999999
NE;NORDESTE;2025-01-04 11:00:00;12642.74699999
S;SUL;2025-01-04 11:00:00;13593.017
SE;SUDESTE;2025-01-04 11:00:00;43404.95199999
N;NORTE;2025-01-04 12:00:00;7300.26999999
NE;NORDESTE;2025-01-04 12:00:00;12575.928
S;SUL;2025-01-04 12:00:00;13347.091
SE;SUDESTE;2025-01-04 12:00:00;43125.51299999
N;NORTE;2025-01-04 13:00:00;7452.819
NE;NORDESTE;2025-01-04 13:00:00;12569.139
S;SUL;2025-01-04 13:00:00;13123.694
SE;SUDESTE;2025-01-04 13:00:00;43806.25099999
N;NORTE;2025-01-04 14:00:00;7451.554
NE;NORDESTE;2025-01-04 14:00:00;12668.17999999
S;SUL;2025-01-04 14:00:00;12853.722
SE;SUDESTE;2025-01-04 14:00:00;44352.353
N;NORTE;2025-01-04 15:00:00;7439.92199999
NE;NORDESTE;2025-01-04 15:00:00;12880.12199999
S;SUL;2025-01-04 15:00:00;12553.05599999
SE;SUDESTE;2025-01-04 15:00:00;43981.713
N;NORTE;2025-01-04 16:00:00;7273.623
NE;NORDESTE;2025-01-04 16:00:00;13336.832
S;SUL;2025-01-04 16:00:00;12693.714
SE;SUDESTE;2025-01-04 16:00:00;43935.879
N;NORTE;2025-01-04 17:00:00;7106.77
NE;NORDESTE;2025-01-04 17:00:00;13869.783
S;SUL;2025-01-04 17:00:00;13374.225
SE;SUDESTE;2025-01-04 17:00:00;44584.326
N;NORTE;2025-01-04 18:00:00;7337.81599999
NE;NORDESTE;2025-01-04 18:00:00;14963.907
S;SUL;2025-01-04 18:00:00;14065.18599999
SE;SUDESTE;2025-01-04 18:00:00;46168.362
N;NORTE;2025-01-04 19:00:00;7552.811
NE;NORDESTE;2025-01-04 19:00:00;15205.306
S;SUL;2025-01-04 19:00:00;14685.579
SE;SUDESTE;2025-01-04 19:00:00;48752.35
N;NORTE;2025-01-04 20:00:00;7590.793
NE;NORDESTE;2025-01-04 20:00:00;15076.547
S;SUL;2025-01-04 20:00:00;15280.144
SE;SUDESTE;2025-01-04 20:00:00;48555.083
N;NORTE;2025-01-04 21:00:00;7727.827
NE;NORDESTE;2025-01-04 21:00:00;15071.55399999
S;SUL;2025-01-04 21:00:00;14667.02799999
SE;SUDESTE;2025-01-04 21:00:00;47030.358
N;NORTE;2025-01-04 22:00:00;7629.331
NE;NORDESTE;2025-01-04 22:00:00;14952.45999999
S;SUL;2025-01-04 22:00:00;14004.912
SE;SUDESTE;2025-01-04 22:00:00;45124.846
N;NORTE;2025-01-04 23:00:00;7656.95599999
NE;NORDESTE;2025-01-04 23:00:00;14854.751
S;SUL;2025-01-04 23:00:00;13219.583
SE;SUDESTE;2025-01-04 23:00:00;43309.202
N;NORTE;2025-01-05 00:00:00;7698.169
NE;NORDESTE;2025-01-05 00:00:00;14606.96399999
S;SUL;2025-01-05 00:00:00;12355.026
SE;SUDESTE;2025-01-05 00:00:00;41080.67099999
N;NORTE;2025-01-05 01:00:00;7596.458
NE;NORDESTE;2025-01-05 01:00:00;14217.83599999
S;SUL;2025-01-05 01:00:00;11653.526
SE;SUDESTE;2025-01-05 01:00:00;39122.939
N;NORTE;2025-01-05 02:00:00;7499.879
NE;NORDESTE;2025-01-05 02:00:00;13939.531
S;SUL;2025-01-05 02:00:00;11124.632
SE;SUDESTE;2025-01-05 02:00:00;37783.366
N;NORTE;2025-01-05 03:00:00;7358.789
NE;NORDESTE;2025-01-05 03:00:00;13650.646
S;SUL;2025-01-05 03:00:00;10783.47599999
SE;SUDESTE;2025-01-05 03:00:00;36889.574
N;NORTE;2025-01-05 04:00:00;7285.31
NE;NORDESTE;2025-01-05 04:00:00;13411.85899999
S;SUL;2025-01-05 04:00:00;10513.95
SE;SUDESTE;2025-01-05 04:00:00;36320.10299999
N;NORTE;2025-01-05 05:00:00;7180.82999999
NE;NORDESTE;2025-01-05 05:00:00;12687.86
S;SUL;2025-01-05 05:00:00;10233.09499999
SE;SUDESTE;2025-01-05 05:00:00;35387.91199999
N;NORTE;2025-01-05 06:00:00;6929.99599999
NE;NORDESTE;2025-01-05 06:00:00;12047.933
S;SUL;2025-01-05 06:00:00;10444.1
SE;SUDESTE;2025-01-05 06:00:00;34950.402
N;NORTE;2025-01-05 07:00:00;6731.767
NE;NORDESTE;2025-01-05 07:00:00;11650.887
S;SUL;2025-01-05 07:00:00;10834.107
SE;SUDESTE;2025-01-05 07:00:00;35032.652
N;NORTE;2025-01-05 08:00:00;6671.78499999
NE;NORDESTE;2025-01-05 08:00:00;11674.917
S;SUL;2025-01-05 08:00:00;10974.256
SE;SUDESTE;2025-01-05 08:00:00;35547.023
N;NORTE;2025-01-05 09:00:00;6689.529
NE;NORDESTE;2025-01-05 09:00:00;11410.25399999
S;SUL;2025-01-05 09:00:00;11215.045
SE;SUDESTE;2025-01-05 09:00:00;36299.78299999
N;NORTE;2025-01-05 10:00:00;6694.295
NE;NORDESTE;2025-01-05 10:00:00;11318.422
S;SUL;2025-01-05 10:00:00;11678.89999999
SE;SUDESTE;2025-01-05 10:00:00;37629.759
N;NORTE;2025-01-05 11:00:00;6628.911
NE;NORDESTE;2025-01-05 11:00:00;11332.956
S;SUL;2025-01-05 11:00:00;12149.34099999
SE;SUDESTE;2025-01-05 11:00:00;38872.276
N;NORTE;2025-01-05 12:00:00;6551.61299999
NE;NORDESTE;2025-01-05 12:00:00;11328.388
S;SUL;2025-01-05 12:00:00;11932.853
SE;SUDESTE;2025-01-05 12:00:00;39243.84399999
N;NORTE;2025-01-05 13:00:00;6792.623
NE;NORDESTE;2025-01-05 13:00:00;11328.88
S;SUL;2025-01-05 13:00:00;11690.795
SE;SUDESTE;2025-01-05 13:00:00;38601.012
N;NORTE;2025-01-05 14:00:00;6996.714
NE;NORDESTE;2025-01-05 14:00:00;11546.79299999
S;SUL;2025-01-05 14:00:00;11493.924
SE;SUDESTE;2025-01-05 14:00:00;37992.416
N;NORTE;2025-01-05 15:00:00;7031.942
NE;NORDESTE;2025-01-05 15:00:00;12006.443
S;SUL;2025-01-05 15:00:00;11391.154
SE;SUDESTE;2025-01-05 15:00:00;38492.47999999
N;NORTE;2025-01-05 16:00:00;6967.71399999
NE;NORDESTE;2025-01-05 16:00:00;12589.326
S;SUL;2025-01-05 16:00:00;11687.58
SE;SUDESTE;2025-01-05 16:00:00;39661.258
N;NORTE;2025-01-05 17:00:00;6880.717
