id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2025-01-02 16:00:00;3217.97299999;451.885;10594.918;4254.292;14470.759;4048.309
N;NORTE;2025-01-02 16:00:00;7754.54;1468.468;316.777;529.01899999;7746.115;2322.689
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 16:00:00;51579.473;6310.642;11693.197;15048.824;84632.14;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 16:00:00;32005.354;4364.858;6.0;8413.84199999;47713.829;-2923.77499999
S;SUL;2025-01-02 16:00:00;8601.606;25.431;775.502;1851.671;14701.433;-3447.223
NE;NORDESTE;2025-01-02 17:00:00;3925.3;426.125;12300.97399999;1101.226;14337.09899999;3416.526
N;NORTE;2025-01-02 17:00:00;10171.376;1467.101;340.76;211.664;7637.909;4552.992
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 17:00:00;57536.639;6333.328;13563.808;5655.146;83088.92;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 17:00:00;33464.31899999;4415.497;6.0;3273.065;46442.029;-5283.148
S;SUL;2025-01-02 17:00:00;9975.644;24.605;916.074;1069.191;14671.884;-2686.37
NE;NORDESTE;2025-01-02 18:00:00;4024.24299999;431.155;13757.727;24.655;14854.185;3383.595
N;NORTE;2025-01-02 18:00:00;11488.838;1467.253;387.949;28.49499999;7603.961;5768.574
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 18:00:00;60699.588;6425.217;15274.868;850.168;83249.84;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 18:00:00;34937.127;4502.203;6.0;434.57799999;46540.63;-6660.722
S;SUL;2025-01-02 18:00:00;10249.37999999;24.606;1123.192;362.44;14251.065;-2491.447
NE;NORDESTE;2025-01-02 19:00:00;4190.678;429.064;16004.363;0.0;15189.091;5435.014
N;NORTE;2025-01-02 19:00:00;13296.96699999;1481.196;385.031;2.056;7869.739;7295.511
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 19:00:00;63540.343;6438.938;17481.279;15.852;87476.41;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 19:00:00;35644.78;4503.47;6.0;4.202;49489.095;-9330.643
S;SUL;2025-01-02 19:00:00;10407.91799999;25.208;1085.885;9.594;14928.48699999;-3399.882
NE;NORDESTE;2025-01-02 20:00:00;4168.921;435.938;16859.982;0.0;15228.221;6236.62
N;NORTE;2025-01-02 20:00:00;13756.488;1498.294;393.825;0.0;7974.428;7674.179
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 20:00:00;63517.642;6467.518;18193.192;1.0;88179.35;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 20:00:00;35213.408;4497.948;6.0;0.0;49364.485;-9647.129
S;SUL;2025-01-02 20:00:00;10378.82499999;35.338;933.385;1.0;15612.218;-4263.67
NE;NORDESTE;2025-01-02 21:00:00;4035.47899999;438.175;17280.473;0.0;15698.69;6055.437
N;NORTE;2025-01-02 21:00:00;13547.568;1500.517;391.343;0.0;8138.98599999;7300.442
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 21:00:00;62868.942;6474.247;18514.494;1.0;87858.68;0.0
